date,commodity,market,price,unit
2021-01-01,Onion,Pune,1795.22,INR/quintal
2021-01-02,Onion,Pune,1789.63,INR/quintal
2021-01-03,Onion,Pune,1786.29,INR/quintal
2021-01-04,Onion,Pune,1785.37,INR/quintal
2021-01-05,Onion,Pune,1781.23,INR/quintal
2021-01-06,Onion,Pune,1777.65,INR/quintal
2021-01-07,Onion,Pune,1778.49,INR/quintal
2021-01-08,Onion,Pune,1778.14,INR/quintal
2021-01-09,Onion,Pune,1775.7,INR/quintal
2021-01-10,Onion,Pune,1775.97,INR/quintal
2021-01-11,Onion,Pune,1774.65,INR/quintal
2021-01-12,Onion,Pune,1773.88,INR/quintal
2021-01-13,Onion,Pune,1775.17,INR/quintal
2021-01-14,Onion,Pune,1772.43,INR/quintal
2021-01-15,Onion,Pune,1770.65,INR/quintal
2021-01-16,Onion,Pune,1771.9,INR/quintal
2021-01-17,Onion,Pune,1772.76,INR/quintal
2021-01-18,Onion,Pune,1777.0,INR/quintal
2021-01-19,Onion,Pune,1779.21,INR/quintal
2021-01-20,Onion,Pune,1780.92,INR/quintal
2021-01-21,Onion,Pune,1789.36,INR/quintal
2021-01-22,Onion,Pune,1794.77,INR/quintal
2021-01-23,Onion,Pune,1801.42,INR/quintal
2021-01-24,Onion,Pune,1805.44,INR/quintal
2021-01-25,Onion,Pune,1811.97,INR/quintal
2021-01-26,Onion,Pune,1820.54,INR/quintal
2021-01-27,Onion,Pune,1826.98,INR/quintal
2021-01-28,Onion,Pune,1837.39,INR/quintal
2021-01-29,Onion,Pune,1846.32,INR/quintal
2021-01-30,Onion,Pune,1856.58,INR/quintal
2021-01-31,Onion,Pune,1866.81,INR/quintal
2021-02-01,Onion,Pune,1883.57,INR/quintal
2021-02-02,Onion,Pune,1896.88,INR/quintal
2021-02-03,Onion,Pune,1908.54,INR/quintal
2021-02-04,Onion,Pune,1925.21,INR/quintal
2021-02-05,Onion,Pune,1937.95,INR/quintal
2021-02-06,Onion,Pune,1954.75,INR/quintal
2021-02-07,Onion,Pune,1967.27,INR/quintal
2021-02-08,Onion,Pune,1982.02,INR/quintal
2021-02-09,Onion,Pune,2001.18,INR/quintal
2021-02-10,Onion,Pune,2022.51,INR/quintal
2021-02-11,Onion,Pune,2043.37,INR/quintal
2021-02-12,Onion,Pune,2064.43,INR/quintal
2021-02-13,Onion,Pune,2085.96,INR/quintal
2021-02-14,Onion,Pune,2105.48,INR/quintal
2021-02-15,Onion,Pune,2127.82,INR/quintal
2021-02-16,Onion,Pune,2151.79,INR/quintal
2021-02-17,Onion,Pune,2180.69,INR/quintal
2021-02-18,Onion,Pune,2208.86,INR/quintal
2021-02-19,Onion,Pune,2232.58,INR/quintal
2021-02-20,Onion,Pune,2262.91,INR/quintal
2021-02-21,Onion,Pune,2292.51,INR/quintal
2021-02-22,Onion,Pune,2322.49,INR/quintal
